state,state2,pct100
Alabama,Alabama,97.4
Alaska,Alaska,92.2
Arizona,Arizona,99.5
Arkansas,Arkansas,99.1
California,California,93.9
Colorado,Colorado,97.2
Connecticut,Connecticut,94.2
Delaware,Delaware,95.5
District of Columbia,District of Columbia,93.3
Florida,Florida,96.5
Georgia,Georgia,98.3
Hawaii,Hawaii,88.6
Idaho,Idaho,102.5
Illinois,Illinois,94.5
Indiana,Indiana,96.2
Iowa,Iowa,97.0
Kansas,Kansas,96.4
Kentucky,Kentucky,95.4
Louisiana,Louisiana,92.7
Maine,Maine,96.9
Maryland,Maryland,95.1
Massachusetts,Massachusetts,94.3
Michigan,Michigan,93.4
Minnesota,Minnesota,95.4
Mississippi,Mississippi,97.7
Missouri,Missouri,97.4
Montana,Montana,99.0
Nebraska,Nebraska,97.6
Nevada,Nevada,93.7
New Hampshire,New Hampshire,95.5
New Jersey,New Jersey,93.2
New Mexico,New Mexico,93.3
New York,New York,90.8
North Carolina,North Carolina,99.3
North Dakota,North Dakota,94.6
Ohio,Ohio,95.4
Oklahoma,Oklahoma,95.8
Oregon,Oregon,95.8
Pennsylvania,Pennsylvania,93.8
Rhode Island,Rhode Island,94.2
South Carolina,South Carolina,96.5
South Dakota,South Dakota,98.7
Tennessee,Tennessee,97.8
Texas,Texas,97.6
Utah,Utah,101.7
Vermont,Vermont,96.1
Virginia,Virginia,95.2
Washington,Washington,96.5
West Virginia,West Virginia,97.2
Wisconsin,Wisconsin,96.3
Wyoming,Wyoming,95.9
